patt_id,currency,currency_symbol,price
1039033,USD,$,2
1039035,USD,$,2
927223,USD,$,9
819716,USD,$,7
1091238,USD,$,7
788421,USD,$,9
832035,USD,$,6
894972,USD,$,7
870739,USD,$,8
1321260,USD,$,7
957863,USD,$,7
1353734,USD,$,5
1287102,USD,$,7
1033093,USD,$,9
106061,USD,$,6.5
1039034,USD,$,2
631393,USD,$,5
1063022,USD,$,5
301227,USD,$,5
894713,USD,$,8
1345491,USD,$,6.5
1246049,USD,$,9
910492,USD,$,9
942316,USD,$,5
1055214,USD,$,7
775740,USD,$,12
1320708,USD,$,5.5
990033,USD,$,5
1342787,USD,$,9
1087512,USD,$,9
1141284,USD,$,5
1213476,USD,$,7
778932,USD,$,9
1189402,USD,$,9
1101030,USD,$,9.5
869060,USD,$,3
1101504,USD,$,6
1237530,USD,$,7
747818,USD,$,8
1029425,USD,$,6
1139951,USD,$,7
1363471,USD,$,7
1325588,USD,$,5
710601,USD,$,8
1258652,USD,$,9
1197840,USD,$,7
1247453,USD,$,9
1105377,USD,$,9
674882,USD,$,5
1254090,USD,$,8
861747,USD,$,8
1265316,USD,$,6
897128,USD,$,9
1267443,USD,$,5
1191479,USD,$,7
1188200,USD,$,9
1056994,USD,$,9
1043109,USD,$,9
836305,USD,$,7
567382,USD,$,15
1156209,USD,$,8
1215890,USD,$,9
838914,USD,$,9
1226981,USD,$,6
3636,USD,$,6
259848,USD,$,9
1347408,USD,$,9
622283,USD,$,7
1002996,USD,$,5
777587,USD,$,3
996463,USD,$,6
742300,USD,$,9
1355519,USD,$,9
1257277,USD,$,12
54,USD,$,7.95
1106023,USD,$,7
121619,USD,$,6
1277280,USD,$,7
1306929,USD,$,8
1083371,USD,$,7
1288002,USD,$,7.99
930451,USD,$,7
1014235,USD,$,9
781137,USD,$,9
795776,USD,$,3.25
7292793,USD,$,6
1093554,USD,$,9
817955,USD,$,6
1036856,USD,$,6
440784,USD,$,2
746797,USD,$,9
944225,USD,$,8
